Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2015-19,UHF42,101,4,Kingsbridge - Riverdale,13257,15.08
2015-19,UHF42,102,4,Northeast Bronx,30712,15.29
2015-19,UHF42,103,4,Fordham - Bronx Pk,76345,29.36
2015-19,UHF42,104,4,Pelham - Throgs Neck,64115,21.61
2015-19,UHF42,105,4,Crotona -Tremont,78876,36.96
2015-19,UHF42,106,4,High Bridge - Morrisania,78362,36.6
2015-19,UHF42,107,4,Hunts Point - Mott Haven,53312,38.65
2015-19,UHF42,201,4,Greenpoint,29626,21.25
2015-19,UHF42,202,4,Downtown - Heights - Slope,35828,14.14
2015-19,UHF42,203,4,Bedford Stuyvesant - Crown Heights,78228,23.6
2015-19,UHF42,204,4,East New York,51563,27.01
2015-19,UHF42,205,4,Sunset Park,30082,25.78
2015-19,UHF42,206,4,Borough Park,77144,23.94
2015-19,UHF42,207,4,East Flatbush - Flatbush,43789,14.86
2015-19,UHF42,208,4,Canarsie - Flatlands,22713,11.02
2015-19,UHF42,209,4,Bensonhurst - Bay Ridge,27692,13.61
2015-19,UHF42,210,4,Coney Island - Sheepshead Bay,52396,18.27
2015-19,UHF42,211,4,Williamsburg - Bushwick,62570,28.51
2015-19,UHF42,301,4,Washington Heights,52857,19.99
2015-19,UHF42,302,4,Central Harlem - Morningside Heights,44232,25.23
2015-19,UHF42,303,4,East Harlem,37153,34.11
2015-19,UHF42,304,4,Upper West Side,22201,10.46
2015-19,UHF42,305,4,Upper East Side,11673,5.5
2015-19,UHF42,306,4,Chelsea - Clinton,18987,12.28
2015-19,UHF42,307,4,Gramercy Park - Murray Hill,10090,7.68
2015-19,UHF42,308,4,Greenwich Village - SoHo,7076,8.95
2015-19,UHF42,309,4,Union Square - Lower East Side,37986,21.54
2015-19,UHF42,310,4,Lower Manhattan,5850,9.86
2015-19,UHF42,401,4,Long Island City - Astoria,24983,12.38
2015-19,UHF42,402,4,West Queens,61826,13.95
2015-19,UHF42,403,4,Flushing - Clearview,36942,14.76
2015-19,UHF42,404,4,Bayside - Little Neck,6419,7.28
2015-19,UHF42,405,4,Ridgewood - Forest Hills,26376,10.1
2015-19,UHF42,406,4,Fresh Meadows,12943,13.07
2015-19,UHF42,407,4,Southwest Queens,33167,11.87
2015-19,UHF42,408,4,Jamaica,36892,12.09
2015-19,UHF42,409,4,Southeast Queens,16232,6
2015-19,UHF42,410,4,Rockaways,22505,18.13
2015-19,UHF42,501,4,Port Richmond,13192,19.14
2015-19,UHF42,502,4,Stapleton - St. George,20571,17.38
2015-19,UHF42,503,4,Willowbrook,8097,9.13
2015-19,UHF42,504,4,South Beach - Tottenville,12761,6.62
