Time,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Annual Average 2021,CD,101,6,Financial District (CD1),7.287805413,7.989242644,7.656623364
Annual Average 2021,CD,102,6,Greenwich Village and Soho (CD2),7.998246348,9.043199902,8.468254027
Annual Average 2021,CD,103,6,Lower East Side and Chinatown (CD3),6.80115622,8.641081218,7.609039459
Annual Average 2021,CD,104,6,Clinton and Chelsea (CD4),7.37079845,8.846594025,8.070489512
Annual Average 2021,CD,105,6,Midtown (CD5),8.325462784,9.385368461,8.946310852
Annual Average 2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),7.292428574,8.584611922,7.855239585
Annual Average 2021,CD,107,6,Upper West Side (CD7),6.624675196,6.979001471,6.794751323
Annual Average 2021,CD,108,6,Upper East Side (CD8),6.725630627,7.420171117,7.031483788
Annual Average 2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),6.723241376,6.86569138,6.79355778
Annual Average 2021,CD,110,6,Central Harlem (CD10),6.707417654,6.848309397,6.772465316
Annual Average 2021,CD,111,6,East Harlem (CD11),6.691247028,6.85843087,6.793361386
Annual Average 2021,CD,112,6,Washington Heights and Inwood (CD12),6.586393735,7.554836763,6.875152851
Annual Average 2021,CD,201,6,Mott Haven and Melrose (CD1),6.341955024,7.703522262,6.842618821
Annual Average 2021,CD,202,6,Hunts Point and Longwood (CD2),6.642195161,8.341649395,7.291174225
Annual Average 2021,CD,203,6,Morrisania and Crotona (CD3),6.563721492,6.914496333,6.698096695
Annual Average 2021,CD,204,6,Highbridge and Concourse (CD4),6.406059539,6.985906172,6.654364052
Annual Average 2021,CD,205,6,Fordham and University Heights (CD5),6.486640174,7.032419739,6.764031186
Annual Average 2021,CD,206,6,Belmont and East Tremont (CD6),6.603948275,7.022577082,6.804737138
Annual Average 2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),6.503311799,6.922447041,6.643258842
Annual Average 2021,CD,208,6,Riverdale and Fieldston (CD8),6.391733424,6.828757887,6.547798125
Annual Average 2021,CD,209,6,Parkchester and Soundview (CD9),6.313440218,7.057541101,6.69403683
Annual Average 2021,CD,210,6,Throgs Neck and Co-op City (CD10),6.247655095,6.808875954,6.51787953
Annual Average 2021,CD,211,6,Morris Park and Bronxdale (CD11),6.372801936,6.737219359,6.55246426
Annual Average 2021,CD,212,6,Williamsbridge and Baychester (CD12),6.395905804,6.613822932,6.492117235
Annual Average 2021,CD,301,6,Greenpoint and Williamsburg (CD1),6.981671859,8.687593836,7.744462605
Annual Average 2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),6.843459895,7.349732331,7.099629413
Annual Average 2021,CD,303,6,Bedford Stuyvesant (CD3),6.482882882,7.69291492,6.83901039
Annual Average 2021,CD,304,6,Bushwick (CD4),6.399723261,7.579914199,6.871332323
Annual Average 2021,CD,305,6,East New York and Starrett City (CD5),6.131991758,6.968680182,6.510727859
Annual Average 2021,CD,306,6,Park Slope and Carroll Gardens (CD6),6.699030734,7.458913002,7.063171222
Annual Average 2021,CD,307,6,Sunset Park (CD7),6.373437416,7.936756873,6.997014388
Annual Average 2021,CD,308,6,Crown Heights and Prospect Heights (CD8),6.498791053,6.99710685,6.716222573
Annual Average 2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),6.39809246,6.594372797,6.501346358
Annual Average 2021,CD,310,6,Bay Ridge and Dyker Heights (CD10),6.272789509,6.852020895,6.533140942
Annual Average 2021,CD,311,6,Bensonhurst (CD11),6.282293983,6.460145169,6.370488871
Annual Average 2021,CD,312,6,Borough Park (CD12),6.323691868,6.582554875,6.450384707
Annual Average 2021,CD,313,6,Coney Island (CD13),6.111907415,6.370427118,6.255687694
Annual Average 2021,CD,314,6,Flatbush and Midwood (CD14),6.263904024,6.59097531,6.43107807
Annual Average 2021,CD,315,6,Sheepshead Bay (CD15),6.101215911,6.440140354,6.269496505
Annual Average 2021,CD,316,6,Brownsville (CD16),6.314916491,6.824152033,6.516694888
Annual Average 2021,CD,317,6,East Flatbush (CD17),6.315860979,6.651437461,6.469369371
Annual Average 2021,CD,318,6,Flatlands and Canarsie (CD18),6.028441932,6.421668365,6.245363937
Annual Average 2021,CD,401,6,Long Island City and Astoria (CD1),6.191443628,7.181631455,6.757503962
Annual Average 2021,CD,402,6,Woodside and Sunnyside (CD2),6.67263081,8.840002157,7.607668343
Annual Average 2021,CD,403,6,Jackson Heights (CD3),6.384314388,6.995871723,6.644332844
Annual Average 2021,CD,404,6,Elmhurst and Corona (CD4),6.495399723,6.968688491,6.711902664
Annual Average 2021,CD,405,6,Ridgewood and Maspeth (CD5),6.201789466,8.040532578,6.961902901
Annual Average 2021,CD,406,6,Rego Park and Forest Hills (CD6),6.284104389,6.605129223,6.428650047
Annual Average 2021,CD,407,6,Flushing and Whitestone (CD7),6.186262596,6.930952969,6.46952393
Annual Average 2021,CD,408,6,Hillcrest and Fresh Meadows (CD8),6.159250911,6.466811178,6.294422271
Annual Average 2021,CD,409,6,Kew Gardens and Woodhaven (CD9),6.280148302,6.687717185,6.456403863
Annual Average 2021,CD,410,6,South Ozone Park and Howard Beach (CD10),6.072195015,6.327084733,6.194084833
Annual Average 2021,CD,411,6,Bayside and Little Neck (CD11),6.118893802,6.488620193,6.280127652
Annual Average 2021,CD,412,6,Jamaica and Hollis (CD12),6.062665271,6.764821468,6.330484771
Annual Average 2021,CD,413,6,Queens Village (CD13),5.997310932,6.840978788,6.338519067
Annual Average 2021,CD,414,6,Rockaway and Broad Channel (CD14),5.8602343,5.983078481,5.918832207
Annual Average 2021,CD,501,6,St. George and Stapleton (CD1),6.213518679,6.463578519,6.335447406
Annual Average 2021,CD,502,6,South Beach and Willowbrook (CD2),6.07237535,6.2541895,6.158779317
Annual Average 2021,CD,503,6,Tottenville and Great Kills (CD3),5.938066144,6.114583762,6.029808193
Annual Average 2021,UHF42,101,4,Kingsbridge - Riverdale,6.390514532,6.935551735,6.565820909
Annual Average 2021,UHF42,102,4,Northeast Bronx,6.373479606,6.660938487,6.493489505
Annual Average 2021,UHF42,103,4,Fordham - Bronx Pk,6.434778187,6.787309527,6.58259927
Annual Average 2021,UHF42,104,4,Pelham - Throgs Neck,6.275263732,7.01232043,6.597621828
Annual Average 2021,UHF42,105,4,Crotona -Tremont,6.548025755,7.055268267,6.794969345
Annual Average 2021,UHF42,106,4,High Bridge - Morrisania,6.399095728,6.90551201,6.629757249
Annual Average 2021,UHF42,107,4,Hunts Point - Mott Haven,6.185303435,7.859330252,6.979984447
Annual Average 2021,UHF42,201,4,Greenpoint,6.996334811,8.519696782,7.670414078
Annual Average 2021,UHF42,202,4,Downtown - Heights - Slope,6.705043453,7.475445624,7.09930316
Annual Average 2021,UHF42,203,4,Bedford Stuyvesant - Crown Heights,6.371755956,6.908950123,6.605377793
Annual Average 2021,UHF42,204,4,East New York,6.247590873,6.988321776,6.549541035
Annual Average 2021,UHF42,205,4,Sunset Park,6.353886721,7.91526253,6.989881539
Annual Average 2021,UHF42,206,4,Borough Park,6.32315834,6.554152479,6.43137482
Annual Average 2021,UHF42,207,4,East Flatbush - Flatbush,6.280913007,6.598138934,6.436576312
Annual Average 2021,UHF42,208,4,Canarsie - Flatlands,6.030064812,6.609448186,6.266817392
Annual Average 2021,UHF42,209,4,Bensonhurst - Bay Ridge,6.209332704,6.736526182,6.431367091
Annual Average 2021,UHF42,210,4,Coney Island - Sheepshead Bay,6.108951793,6.416386939,6.270061176
Annual Average 2021,UHF42,211,4,Williamsburg - Bushwick,6.52624838,8.27449733,7.247995672
Annual Average 2021,UHF42,301,4,Washington Heights,6.614975677,7.398382048,6.863263918
Annual Average 2021,UHF42,302,4,Central Harlem - Morningside Heights,6.711095647,6.85652401,6.782473216
Annual Average 2021,UHF42,303,4,East Harlem,6.684736748,6.855653647,6.788910431
Annual Average 2021,UHF42,304,4,Upper West Side,6.639977889,6.98119028,6.799980284
Annual Average 2021,UHF42,305,4,Upper East Side,6.721830138,7.379288544,7.018751653
Annual Average 2021,UHF42,306,4,Chelsea - Clinton,7.496556425,9.282564333,8.44115285
Annual Average 2021,UHF42,307,4,Gramercy Park - Murray Hill,7.39679375,9.08921142,8.154833608
Annual Average 2021,UHF42,308,4,Greenwich Village - SoHo,7.815005002,8.707176169,8.224712887
Annual Average 2021,UHF42,309,4,Union Square - Lower East Side,6.84066664,8.987261832,7.795986752
Annual Average 2021,UHF42,310,4,Lower Manhattan,7.260847476,7.908382991,7.581538553
Annual Average 2021,UHF42,401,4,Long Island City - Astoria,6.615252394,7.999920913,7.195535359
Annual Average 2021,UHF42,402,4,West Queens,6.445640544,8.461468047,7.136551972
Annual Average 2021,UHF42,403,4,Flushing - Clearview,6.188951344,6.872613837,6.451618915
Annual Average 2021,UHF42,404,4,Bayside - Little Neck,6.111331845,6.519550462,6.290971464
Annual Average 2021,UHF42,405,4,Ridgewood - Forest Hills,6.207271184,6.872890794,6.543910861
Annual Average 2021,UHF42,406,4,Fresh Meadows,6.150842302,6.424268497,6.265314982
Annual Average 2021,UHF42,407,4,Southwest Queens,6.095680495,6.494399664,6.297781718
Annual Average 2021,UHF42,408,4,Jamaica,6.069501189,6.820626928,6.429082861
Annual Average 2021,UHF42,409,4,Southeast Queens,5.998832284,6.342104016,6.229557151
Annual Average 2021,UHF42,410,4,Rockaways,5.860066138,5.984753269,5.919665546
Annual Average 2021,UHF42,501,4,Port Richmond,6.241321767,6.508977883,6.366716674
Annual Average 2021,UHF42,502,4,Stapleton - St. George,6.117106739,6.407631098,6.249466758
Annual Average 2021,UHF42,503,4,Willowbrook,6.07412635,6.362951256,6.178614542
Annual Average 2021,UHF42,504,4,South Beach - Tottenville,5.943815121,6.138050193,6.043162387
Annual Average 2021,UHF34,101,3,Kingsbridge - Riverdale,6.390514532,6.935551735,6.565820909
Annual Average 2021,UHF34,102,3,Northeast Bronx,6.373477984,6.660947666,6.493490746
Annual Average 2021,UHF34,103,3,Fordham - Bronx Park,6.434778187,6.787309527,6.58259927
Annual Average 2021,UHF34,104,3,Pelham - Throgs Neck,6.275263732,7.01232043,6.597621828
Annual Average 2021,UHF34,201,3,Greenpoint,6.996334811,8.519696782,7.670414078
Annual Average 2021,UHF34,202,3,Downtown - Heights - Slope,6.705043453,7.475445624,7.09930316
Annual Average 2021,UHF34,203,3,Bedford Stuyvesant - Crown Heights,6.371755956,6.908950123,6.605377793
Annual Average 2021,UHF34,204,3,East New York,6.247590873,6.988321776,6.549541035
Annual Average 2021,UHF34,205,3,Sunset Park,6.35389055,7.915474378,6.990127119
Annual Average 2021,UHF34,206,3,Borough Park,6.32315834,6.554152479,6.43137482
Annual Average 2021,UHF34,207,3,East Flatbush - Flatbush,6.280913007,6.598138934,6.436576312
Annual Average 2021,UHF34,208,3,Canarsie - Flatlands,6.030064812,6.609448186,6.266817392
Annual Average 2021,UHF34,209,3,Bensonhurst - Bay Ridge,6.209332704,6.736526182,6.431367091
Annual Average 2021,UHF34,210,3,Coney Island - Sheepshead Bay,6.108951793,6.416386939,6.270061176
Annual Average 2021,UHF34,211,3,Williamsburg - Bushwick,6.52624838,8.27449733,7.247995672
Annual Average 2021,UHF34,301,3,Washington Heights - Inwood,6.614981181,7.39833104,6.8632673
Annual Average 2021,UHF34,302,3,Central Harlem - Morningside Heights,6.711085802,6.856525356,6.782480846
Annual Average 2021,UHF34,303,3,East Harlem,6.684736748,6.855653647,6.788910431
Annual Average 2021,UHF34,304,3,Upper West Side,6.639978256,6.981173183,6.799969025
Annual Average 2021,UHF34,401,3,Long Island City - Astoria,6.615252394,7.999920913,7.195535359
Annual Average 2021,UHF34,402,3,West Queens,6.445640544,8.461468047,7.136551972
Annual Average 2021,UHF34,403,3,Flushing - Clearview,6.188859466,6.87387327,6.451081609
