Time,GeoType,GeoID,GeoRank,Geography,Percent
2018,UHF42,101,4,Kingsbridge - Riverdale,33
2018,UHF42,102,4,Northeast Bronx,25
2018,UHF42,103,4,Fordham - Bronx Pk,69
2018,UHF42,104,4,Pelham - Throgs Neck,32
2018,UHF42,105,4,Crotona -Tremont,54
2018,UHF42,106,4,High Bridge - Morrisania,47
2018,UHF42,107,4,Hunts Point - Mott Haven,84
2018,UHF42,201,4,Greenpoint,57
2018,UHF42,202,4,Downtown - Heights - Slope,65
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,63
2018,UHF42,204,4,East New York,66
2018,UHF42,205,4,Sunset Park,60
2018,UHF42,206,4,Borough Park,62
2018,UHF42,207,4,East Flatbush - Flatbush,50
2018,UHF42,208,4,Canarsie - Flatlands,5
2018,UHF42,209,4,Bensonhurst - Bay Ridge,47
2018,UHF42,210,4,Coney Island - Sheepshead Bay,43
2018,UHF42,211,4,Williamsburg - Bushwick,71
2018,UHF42,301,4,Washington Heights,96
2018,UHF42,302,4,Central Harlem - Morningside Heights,88
2018,UHF42,303,4,East Harlem,60
2018,UHF42,304,4,Upper West Side,94
2018,UHF42,305,4,Upper East Side,74
2018,UHF42,306,4,Chelsea - Clinton,80
2018,UHF42,307,4,Gramercy Park - Murray Hill,57
2018,UHF42,308,4,Greenwich Village - SoHo,89
2018,UHF42,309,4,Union Square - Lower East Side,61
2018,UHF42,310,4,Lower Manhattan,76
2018,UHF42,401,4,Long Island City - Astoria,55
2018,UHF42,402,4,West Queens,41
2018,UHF42,403,4,Flushing - Clearview,4
2018,UHF42,404,4,Bayside - Little Neck,0
2018,UHF42,405,4,Ridgewood - Forest Hills,43
2018,UHF42,406,4,Fresh Meadows,0
2018,UHF42,407,4,Southwest Queens,39
2018,UHF42,408,4,Jamaica,23
2018,UHF42,409,4,Southeast Queens,0
2018,UHF42,410,4,Rockaways,39
2018,UHF42,501,4,Port Richmond,0
2018,UHF42,502,4,Stapleton - St. George,12
2018,UHF42,503,4,Willowbrook,0
2018,UHF42,504,4,South Beach - Tottenville,15
